,tp.num.vec,fp.num.vec,fn.num.vec
10,1.84,1.22,6.16
15,1.96,1.44,6.04
20,2.52,1.4,5.48
25,2.62,1.54,5.38
30,3.02,1.46,4.98
35,3.08,1.68,4.92
40,3.36,1.48,4.64
45,3.22,1.7,4.78
50,3.54,1.52,4.46
