,tp.num.vec,fp.num.vec,fn.num.vec
10,5.32,6.48,46.68
15,6.78,5.56,45.22
20,8.44,5.84,43.56
25,9.48,5.4,42.52
30,10.64,5.3,41.36
35,11.72,4.86,40.28
40,12.4,5.18,39.6
45,13.34,5.18,38.66
50,13.92,5.16,38.08
