,tp.num.vec,fp.num.vec,fn.num.vec
10,5.84,9.58,40.16
15,7.16,11.2,38.84
20,9.46,10.8,36.54
25,10.54,11.38,35.46
30,12.46,9.92,33.54
35,13.96,10.3,32.04
40,14.7,9.62,31.3
45,15.28,9.48,30.72
50,16.18,9.58,29.82
