,tp.num.vec,fp.num.vec,fn.num.vec
10,2,0.9,6
15,2.26,1.24,5.74
20,2.38,1.34,5.62
25,2.84,1.48,5.16
30,3.28,1.34,4.72
35,3.02,1.26,4.98
40,3.3,1.44,4.7
45,3.26,1.6,4.74
50,3.74,1.22,4.26
