,tp.num.vec,fp.num.vec,fn.num.vec
10,2.4,13.46,43.6
15,3.12,15.02,42.88
20,3.52,17.72,42.48
25,4.14,17.98,41.86
30,4.5,18.48,41.5
35,5.16,18.72,40.84
40,5.88,19.22,40.12
45,5.6,19.14,40.4
50,6.28,19.82,39.72
