,tp_num_vec,fp_num_vec,fn_num_vec
10,1.9,0.92,6.1
15,2.4,1.36,5.6
20,2.76,1.32,5.24
25,2.66,1.3,5.34
30,3.18,1.32,4.82
35,3.1,1.44,4.9
40,3.3,1.62,4.7
45,3.18,1.52,4.82
50,3.84,1.22,4.16
