,tp_num_vec,fp_num_vec,fn_num_vec
10,3.1,7.56,48.9
15,4,8.06,48
20,5.14,8.34,46.86
25,5.66,9.46,46.34
30,6.6,9.5,45.4
35,7.48,9.18,44.52
40,7.76,9.58,44.24
45,8.2,10.14,43.8
50,8.9,9.66,43.1
