,tp_num_vec,fp_num_vec,fn_num_vec
10,1.74,1.4,6.26
15,2.24,1.26,5.76
20,2.5,1.28,5.5
25,2.66,1.6,5.34
30,2.96,1.72,5.04
35,2.82,1.66,5.18
40,3.18,1.48,4.82
45,3.28,1.56,4.72
50,3.32,1.76,4.68
